avg_rtt,distance
39.968085289001465,926.2133533931137 km
185.50145626068115,5256.116919722045 km
67.02888011932373,1730.9944690287382 km
315.4144048690796,16555.98295721094 km
176.70435905456543,7975.266909300641 km
105.90269565582275,6534.333247090343 km
117.26934909820557,6969.5473460571875 km
26.857280731201172,799.2793160202782 km
176.11197233200073,10289.382099028813 km
18.666398525238037,192.7443630549361 km
286.8395805358887,9125.596117932375 km
126.764084163465,7275.232868385509 km
117.3095703125,7274.616957212247 km
50.06706714630127,1201.0132838015004 km
62.3155951499939,2296.249213271632 km
122.99281358718872,5422.359492183606 km
56.78824186325073,2092.081366375213 km
187.3470664024353,11662.158915364349 km
25.635159015655518,640.4293703911266 km
29.631805419921875,382.9960077872005 km
120.18747329711914,6948.416528279464 km
101.04246139526367,6819.9633607187325 km
132.3186159133911,6577.261754558483 km
36.998891830444336,928.4122075546004 km
44.7495698928833,1536.901646700209 km
28.62468957901001,893.0328042719617 km
45.02565860748291,1355.6912646997353 km
114.08684253692627,6290.459274767005 km
18.11586618423462,221.79901411755682 km
114.38367366790771,6124.2114387785305 km
18.721306324005127,221.79901411755682 km
304.81070280075073,9121.322034289667 km
199.54657554626465,8104.313327067408 km
205.28481006622314,8886.600641386714 km
36.31746768951416,934.7473845269477 km
42.75341033935547,1275.2333593300864 km
179.21591997146606,6163.25414678607 km
47.868895530700684,1172.4954269789991 km
31.78579807281494,796.2536853861674 km
308.24254751205444,8105.58806373181 km
112.91462182998657,7093.712507421268 km
173.43778359262566,6157.915750136 km
28.572773933410645,606.5824654233442 km
291.55977964401245,8352.360427884983 km
180.17596006393433,9585.970395779357 km
127.88922786712646,6961.684427591927 km
183.35413932800293,9714.888958321324 km
42.08686351776123,1362.8832274326921 km
41.812896728515625,1206.738000071823 km
284.66416597366333,8352.360427884983 km
25.936508178710938,643.1216003781402 km
53.971898555755615,1362.7166901792436 km
161.26805543899536,9543.73387598742 km
93.0826187133789,2716.128596435868 km
40.69087505340576,1565.3497189482216 km
33.82481336593628,1137.6281281167755 km
291.81097745895386,9125.29846342928 km
